product_status,product_description,product_brand,product_url,product_price,product_site
Sold Out,MSI NVIDIA GeForce RTX 3070 VENTUS 3X OC BV 8GB GDDR6 PCI Express 4.0 Graphics Card,MSI,https://www.bestbuy.com/site/msi-nvidia-geforce-rtx-3070-ventus-3x-oc-bv-8gb-gddr6-pci-express-4-0-graphics-card/6438278.p?skuId=6438278,$749.99,bestbuy
Sold Out,EVGA GeForce RTX 3070 XC3 ULTRA GAMING 8GB GDDR6 PCI Express 4.0 Graphics Card,EVGA,https://www.bestbuy.com/site/evga-geforce-rtx-3070-xc3-ultra-gaming-8gb-gddr6-pci-express-4-0-graphics-card/6439299.p?skuId=6439299,$629.99,bestbuy
Sold Out,Sony PlayStation 5 Console,Sony,https://www.bestbuy.com/site/sony-playstation-5-console/6426149.p?skuId=6426149,$499.99,bestbuy
Sold Out,NVIDIA GeForce RTX 3090 24GB GDDR6X  PCI Express 4.0 Graphics Card Titanium and Black,NVIDIA,https://www.bestbuy.com/site/nvidia-geforce-rtx-3090-24gb-gddr6x-pci-express-4-0-graphics-card-titanium-and-black/6429434.p?skuId=6429434,"$1,499.99",bestbuy
Sold Out,NVIDIA GeForce RTX 3070 8GB GDDR6  PCI Express 4.0  Graphics Card Dark Platinum and Black,NVIDIA,https://www.bestbuy.com/site/nvidia-geforce-rtx-3070-8gb-gddr6-pci-express-4-0-graphics-card-dark-platinum-and-black/6429442.p?skuId=6429442,$499.99,bestbuy
Sold Out,GIGABYTE NVIDIA GeForce RTX 3070 GAMING OC 8GB GDDR6 PCI Express 4.0 Graphics Card,GIGABYTE,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3070-gaming-oc-8gb-gddr6-pci-express-4-0-graphics-card/6437909.p?skuId=6437909,$599.99,bestbuy
Sold Out,Sony PlayStation 5 Digital Edition Console,Sony,https://www.bestbuy.com/site/sony-playstation-5-digital-edition-console/6430161.p?skuId=6430161,$399.99,bestbuy
Sold Out,Package Sony PlayStation 5 Console and PlayStation 5 DualSense Wireless Controller,Package,https://www.bestbuy.com/site/combo/ps5-consoles/8f146095-0a5f-4993-b123-711a1d34745b,$569.98,bestbuy
See Details,ASUS GeForce RTX 3090 24GB GDDR6X PCI Express 4.0 Strix Graphics Card Black,ASUS,https://www.bestbuy.com/site/asus-geforce-rtx-3090-24gb-gddr6x-pci-express-4-0-strix-graphics-card-black/6432447.p?skuId=6432447,"$1,979.99",bestbuy
Sold Out,ASUS NVIDIA GeForce TUF-RTX3070 8GB GDDR6 PCI Express 4.0 Graphics Card Black,ASUS,https://www.bestbuy.com/site/asus-nvidia-geforce-tuf-rtx3070-8gb-gddr6-pci-express-4-0-graphics-card-black/6439128.p?skuId=6439128,$649.99,bestbuy
Sold Out,Package Sony PlayStation 5 Console and Marvel's Spider-Man: Miles Morales Standard Launch Edition,Package,https://www.bestbuy.com/site/combo/ps5-consoles/96be4c49-d98e-47c6-9a68-291c646d0e47,$549.98,bestbuy
Sold Out,Package Sony PlayStation 5 Console + 2 more items,Package,https://www.bestbuy.com/site/combo/ps5-consoles/c2f03a1f-f254-442a-834b-b95c66efa416,$629.97,bestbuy
Sold Out,Package Sony PlayStation 5 Console + 3 more items,Package,https://www.bestbuy.com/site/combo/ps5-consoles/c471fae2-1d2c-4870-ad3d-d39bffa39af2,$689.96,bestbuy
Sold Out,ASUS NVIDIA GeForce ROG-STRIX-RTX3070 8GB GDDR6 PCI Express 4.0 Graphics Card Black,ASUS,https://www.bestbuy.com/site/asus-nvidia-geforce-rog-strix-rtx3070-8gb-gddr6-pci-express-4-0-graphics-card-black/6439127.p?skuId=6439127,$699.99,bestbuy
See Details,ASUS TUF RTX 3090 24GB GDDR6X PCI Express 4.0 Graphics Card Black,ASUS,https://www.bestbuy.com/site/asus-tuf-rtx-3090-24gb-gddr6x-pci-express-4-0-graphics-card-black/6432446.p?skuId=6432446,"$1,839.99",bestbuy
Sold Out,Package Sony PlayStation 5 Digital Edition Console and PlayStation 5 DualSense Wireless Controller,Package,https://www.bestbuy.com/site/combo/ps5-consoles/5f8731a3-c665-4789-aa67-f3ce72cb917f,$469.98,bestbuy
Sold Out,EVGA GeForce RTX 3090 XC3 ULTRA GAMING 24GB GDDR6 PCI Express 4.0 Graphics Card,EVGA,https://www.bestbuy.com/site/evga-geforce-rtx-3090-xc3-ultra-gaming-24gb-gddr6-pci-express-4-0-graphics-card/6434198.p?skuId=6434198,"$1,699.99",bestbuy
Sold Out,Package Sony PlayStation 5 Console + 2 more items,Package,https://www.bestbuy.com/site/combo/ps5-consoles/586efb70-a327-4fe1-b50c-d27d65c2b22e,$669.97,bestbuy
Sold Out,GIGABYTE NVIDIA GeForce RTX 3070 AORUS MASTER 8GB GDDR6 PCI Express 4.0 Graphics Card,GIGABYTE,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3070-aorus-master-8gb-gddr6-pci-express-4-0-graphics-card/6439384.p?skuId=6439384,$649.99,bestbuy
Sold Out,Package Sony PlayStation 5 Console + 2 more items,Package,https://www.bestbuy.com/site/combo/ps5-consoles/740930c8-1f24-4ff7-95a7-9ded61ff10f9,$639.97,bestbuy
Sold Out,NVIDIA GeForce RTX 3080 10GB GDDR6X PCI Express 4.0  Graphics Card Titanium and Black,NVIDIA,https://www.bestbuy.com/site/nvidia-geforce-rtx-3080-10gb-gddr6x-pci-express-4-0-graphics-card-titanium-and-black/6429440.p?skuId=6429440,$699.99,bestbuy
Sold Out,GIGABYTE NVIDIA GeForce RTX 3070 VISION OC 8GB GDDR6 PCI Express 4.0 Graphics Card,GIGABYTE,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3070-vision-oc-8gb-gddr6-pci-express-4-0-graphics-card/6439385.p?skuId=6439385,$619.99,bestbuy
Sold Out,Package Sony PlayStation 5 Digital Edition Console + 2 more items,Package,https://www.bestbuy.com/site/combo/ps5-consoles/9a82524f-1d01-428b-b41a-e6dea18316a3,$534.98,bestbuy
Sold Out,Package Sony PlayStation 5 Console and Playstation Ratchet & Clank: Rift Apart Launch Edition,Package,https://www.bestbuy.com/site/combo/ps5-consoles/98441ee6-d6eb-4e8b-846c-949092a71af8,$569.98,bestbuy
Sold Out,Package Sony PlayStation 5 Console and WB Games Cyberpunk 2077,Package,https://www.bestbuy.com/site/combo/ps5-consoles/effaa8ef-23cd-4191-8fb4-485e6f1f9875,$534.98,bestbuy
Sold Out,Package Sony PlayStation 5 Console and Capcom Resident Evil Village,Package,https://www.bestbuy.com/site/combo/ps5-consoles/7aa0554d-d14f-4cd4-b401-b288198ab4d4,$559.98,bestbuy
Sold Out,Package Sony PlayStation 5 Console and $75 PlayStation Store Cash Card,Package,https://www.bestbuy.com/site/combo/ps5-consoles/8dd16dcb-8d10-4d37-bea0-38ed731e0f22,$574.99,bestbuy
Sold Out,NVIDIA GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Graphics Card Steel and Black,NVIDIA,https://www.bestbuy.com/site/nvidia-geforce-rtx-3060-ti-8gb-gddr6-pci-express-4-0-graphics-card-steel-and-black/6439402.p?skuId=6439402,$399.99,bestbuy
Sold Out,Package Sony PlayStation 5 Console + 2 more items,Package,https://www.bestbuy.com/site/combo/ps5-consoles/a1713c83-3857-40f9-9d8c-cef2c5d50ee4,$669.97,bestbuy
Sold Out,Package Sony PlayStation 5 Digital Edition Console + 2 more items,Package,https://www.bestbuy.com/site/combo/ps5-consoles/605860cd-34f7-4495-a82e-b004bdb5e010,$519.97,bestbuy
Sold Out,EVGA NVIDIA GeForce RTX 3060 Ti FTW3 GAMING 8GB GDDR6 PCI Express 4.0 Graphics Card,EVGA,https://www.bestbuy.com/site/evga-nvidia-geforce-rtx-3060-ti-ftw3-gaming-8gb-gddr6-pci-express-4-0-graphics-card/6444444.p?skuId=6444444,$499.99,bestbuy
Sold Out,EVGA GeForce RTX 3080 XC3 ULTRA GAMING 10GB GDDR6 PCI Express 4.0 Graphics Card,EVGA,https://www.bestbuy.com/site/evga-geforce-rtx-3080-xc3-ultra-gaming-10gb-gddr6-pci-express-4-0-graphics-card/6432400.p?skuId=6432400,$839.99,bestbuy
Sold Out,Package Sony PlayStation 5 Digital Edition Console + 3 more items,Package,https://www.bestbuy.com/site/combo/ps5-consoles/1d1ca390-2c59-42b6-b1f3-ff0acbe7f44a,$604.97,bestbuy
Sold Out,ASUS GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Strix Graphics Card Black,ASUS,https://www.bestbuy.com/site/asus-geforce-rtx-3080-10gb-gddr6x-pci-express-4-0-strix-graphics-card-black/6432445.p?skuId=6432445,$929.99,bestbuy
See Details,MSI NVIDIA Geforce RTX 3080 VENTUS 3X 10G OC BV GDDR6X PCI Express 4.0 Graphic Card Black/Silver,MSI,https://www.bestbuy.com/site/msi-nvidia-geforce-rtx-3080-ventus-3x-10g-oc-bv-gddr6x-pci-express-4-0-graphic-card-black-silver/6430175.p?skuId=6430175,"$1,069.99",bestbuy
Sold Out,EVGA GeForce RTX 3070 FTW3 ULTRA GAMING 8GB GDDR6 PCI Express 4.0 Graphics Card,EVGA,https://www.bestbuy.com/site/evga-geforce-rtx-3070-ftw3-ultra-gaming-8gb-gddr6-pci-express-4-0-graphics-card/6439301.p?skuId=6439301,$679.99,bestbuy
